continent,location,date,total_vaccinations,population,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred
North America,Anguilla,12/1/2021,19914,15125,131.66,60.91
North America,Antigua and Barbuda,12/1/2021,,98728,,
North America,Aruba,12/1/2021,161648,107195,150.8,72.77
North America,Bahamas,12/1/2021,,396914,,
North America,Barbados,12/1/2021,290658,287708,101.03,47.61
North America,Belize,12/1/2021,,404915,,
North America,Bermuda,12/1/2021,,62092,,
North America,Bonaire Sint Eustatius and Saba,12/1/2021,,26445,,
North America,British Virgin Islands,12/1/2021,,30423,,
North America,Canada,12/1/2021,60824590,38067913,159.78,76.3
North America,Cayman Islands,12/1/2021,,66498,,
North America,Costa Rica,12/1/2021,,5139053,,
North America,Cuba,12/1/2021,28541948,11317498,252.19,81.78
North America,Curacao,12/1/2021,198191,164796,120.26,57.79
North America,Dominica,12/1/2021,,72172,,
North America,Dominican Republic,12/1/2021,13832651,10953714,126.28,51.2
North America,El Salvador,12/1/2021,,6518500,,
North America,Greenland,12/1/2021,,56868,,
North America,Grenada,12/1/2021,,113015,,
North America,Guatemala,12/1/2021,10129197,18249868,55.5,22.5
North America,Haiti,12/1/2021,,11541683,,
North America,Honduras,12/1/2021,,10062994,,
North America,Jamaica,12/1/2021,1114343,2973462,37.48,17.24
North America,Mexico,12/1/2021,132840902,130262220,101.98,49.97
North America,Montserrat,12/1/2021,,4981,,
North America,Nicaragua,12/1/2021,6376188,6702379,95.13,34.65
North America,Panama,12/1/2021,5620247,4381583,128.27,55.45
North America,Saint Kitts and Nevis,12/1/2021,,53546,,
North America,Saint Lucia,12/1/2021,101057,184401,54.8,25.27
North America,Saint Pierre and Miquelon,12/1/2021,,5771,,
North America,Saint Vincent and the Grenadines,12/1/2021,54982,111269,49.41,20.51
North America,Sint Maarten (Dutch part),12/1/2021,,43421,,
North America,Trinidad and Tobago,12/1/2021,1317961,1403374,93.91,45.95
North America,Turks and Caicos Islands,12/1/2021,,39226,,
North America,United States,12/1/2021,471279307,332915074,141.95,59.72
